Date,Time,department_abbreviation,department_name,service_name,call_resolution,zip_code
2014-01-01T00:00:00,8:08:54,DOT,Department of Transportation,Parking Enforcement,Transfer (City),91605
2014-01-01T00:00:00,8:09:00,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Gave Caller Information,90402
2014-01-01T00:00:00,8:09:34,DOT,Department of Transportation,Meter Request Service,Gave Caller Information,99999
2014-01-01T00:00:00,8:10:11,BOS,PW/Bureau of Sanitation,Replacement/Repair of Curbside Trash Containers,Gave Caller Information,90023
2014-01-01T00:00:00,8:11:01,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90044
2014-01-01T00:00:00,8:11:07,BSS,PW/Bureau of Street Services,Maintenance of Public Street Landscape,Gave Caller Information,91605
2014-01-01T00:00:00,8:11:25,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90029
2014-01-01T00:00:00,8:12:23,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90019
2014-01-01T00:00:00,8:12:36,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Gave Caller Information,90004
2014-01-01T00:00:00,8:13:56,BSS,PW/Bureau of Street Services,Street Use Permits,Gave Caller Information,90042
2014-01-01T00:00:00,8:14:25,DOT,Department of Transportation,Impounded/Towed Vehicle,Got Voicemail (City),99999
2014-01-01T00:00:00,8:15:05,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,90043
2014-01-01T00:00:00,8:15:16,,,,Info Not Available (Non-City),90043
2014-01-01T00:00:00,8:16:20,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90025
2014-01-01T00:00:00,8:16:44,DOT,Department of Transportation,Parking Enforcement,Gave Caller Information,90042
2014-01-01T00:00:00,8:17:02,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90019
2014-01-01T00:00:00,8:18:00,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90062
2014-01-01T00:00:00,8:20:51,DOT,Department of Transportation,Abandoned Vehicles,Gave Caller Information,90016
2014-01-01T00:00:00,8:21:00,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Gave Caller Information,91401
2014-01-01T00:00:00,8:27:33,DWP,Department of Water and Power,Billing Inquiries/Payment Arrangements,Transfer (City),91335
2014-01-01T00:00:00,8:27:39,BSS,PW/Bureau of Street Services,Street Use Permits,Gave Caller Information,90018
2014-01-01T00:00:00,8:28:21,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90028
2014-01-01T00:00:00,8:28:42,LAFD,Los Angeles Fire Department,Fire Department - Red Flag Day Parking Restriction,Gave Caller Information,90068
2014-01-01T00:00:00,8:30:16,DOT,Department of Transportation,Parking Enforcement,Gave Caller Information,90018
2014-01-01T00:00:00,8:30:31,DOT,Department of Transportation,Parking Enforcement,Transfer (City),91335
2014-01-01T00:00:00,8:32:09,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),90731
2014-01-01T00:00:00,8:35:02,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90026
2014-01-01T00:00:00,8:37:58,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,90016
2014-01-01T00:00:00,8:38:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90059
2014-01-01T00:00:00,8:38:21,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90036
2014-01-01T00:00:00,8:40:14,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90035
2014-01-01T00:00:00,8:41:25,DOT,Department of Transportation,Blocked Driveways,Transfer (City),90019
2014-01-01T00:00:00,8:42:58,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),91606
2014-01-01T00:00:00,8:43:09,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),91604
2014-01-01T00:00:00,8:43:50,,,,Info Not Available (Non-City),90043
2014-01-01T00:00:00,8:44:09,,,,Referred To County,93535
2014-01-01T00:00:00,8:44:25,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),90035
2014-01-01T00:00:00,8:48:13,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,91342
2014-01-01T00:00:00,8:51:11,,,,Info Not Available (Non-City),99999
